Assault,Asterix,BattleZone,BeamRider,Boxing,Breakout,CrazyClimber,DemonAttack,DoubleDunk,Enduro,FishingDerby,MsPacman,NameThisGame,Phoenix,Pong,Qbert,SpaceInvaders,Tutankham,VideoPinball
23433.3,226760.0,116590.0,60313.92,99.44,523.42,112536.0,134515.35,20.2,2297.26,44.18,8222.44,27300.1,145950.5,18.56,27455.5,12624.9,185.2,533416.59
20252.78,229320.0,146710.0,46943.48,99.45,514.84,117448.0,134173.0,20.92,2341.77,46.17,6827.92,27833.6,114913.5,18.58,27066.25,38870.95,185.04,489729.14
25267.78,168970.0,126140.0,50501.08,99.49,601.88,119200.0,134394.8,20.8,2347.58,46.17,7675.44,27964.5,114944.8,18.5,27282.5,20326.1,170.26,537492.87
24658.12,293190.0,120650.0,44888.6,99.33,497.48,117562.0,134980.8,19.66,2327.78,44.92,6615.06,27243.3,92552.0,18.66,26669.75,32182.85,185.82,525666.23
21766.61,181782.0,102620.0,42832.96,99.21,561.82,113240.0,135735.95,20.42,2340.86,44.01,7825.96,26693.6,217830.6,18.39,27299.5,29166.2,165.69,482390.69
23238.21,224578.0,126810.0,39434.0,99.61,474.54,112182.0,134628.3,21.02,2350.68,45.1,6991.54,27227.1,116433.1,18.68,27641.25,37149.55,182.15,503457.48
23793.29,291228.0,165410.0,49601.12,99.53,515.48,113032.0,135182.35,20.96,2315.36,48.03,7777.28,27526.4,164321.9,18.24,26924.75,31830.7,180.34,484624.21
23358.62,281296.0,128390.0,34192.08,99.38,527.68,118162.0,134704.85,20.74,2334.6,47.96,7361.18,25258.6,129706.9,17.71,28605.25,28156.85,188.42,501447.51
19028.41,162464.0,116470.0,41461.92,99.44,560.88,115296.0,133927.45,20.1,2342.36,48.36,7358.3,25553.8,138157.7,18.21,26020.25,30027.95,187.47,492258.28
20004.94,167395.0,117650.0,72331.92,99.15,574.74,114962.0,134645.2,20.92,2332.57,46.21,6587.46,26317.3,210218.9,18.38,25095.5,20474.3,176.81,511946.08
21202.68,287930.0,123740.0,48551.44,99.39,494.34,116364.0,133219.15,20.5,2342.5,44.88,7433.2,27266.5,180672.4,18.93,27494.25,33092.05,177.48,515075.21
